Work Order Number,"Work Order: Type
Name","Work Order:
Street
Number","Work
Order:
Street
Direction","Work Order:
Street Name","Work
Order:
Street Type",Ward,"Work
Order:
Created
Time Value","Work
Order:
Completed
Time Value",Status,Work Order: Description
20-02723023,"Tree Planting -
Green Streets",2941,W,IRVING PARK,RD,33,11:33 AM,12:34 PM,Closed,"7D, 5-14-20, 1OP, 01ZF"
20-02723593,"Tree Planting -
Green Streets",2957,W,IRVING PARK,RD,33,12:46 PM,1:47 PM,Closed,"7D, 5-14-20, 1OP, 07CC"
20-02723626,"Tree Planting -
Green Streets",3049,W,IRVING PARK,RD,33,12:48 PM,1:50 PM,Closed,"7D, 5-14-20, 1OP EAST OF DOOR, DEAD HACKBERRY, 04ZE"
20-02723662,"Tree Planting -
Green Streets",3055,W,IRVING PARK,RD,33,12:52 PM,1:55 PM,Closed,"7D, 5-14-20, 2OP JTL, TREE WILL NOT EXCEED 12' HIGH,
32AD"
20-02724117,"Tree Planting -
Green Streets",3114,W,IRVING PARK,RD,33,2:04 PM,3:07 PM,Closed,"7D, 5-14-20, 1OP, 01ZF"
20-02724151,"Tree Planting -
Green Streets",3159,W,IRVING PARK,RD,33,2:08 PM,3:11 PM,Closed,"7D, 5-14-20, 3OP; ON KEDZIE, 07CC"
20-02724207,"Tree Planting -
Green Streets",3259,W,IRVING PARK,RD,33,2:17 PM,3:19 PM,Closed,"7D, 5-14--20, 1OP, 01ZF"
20-02724245,"Tree Planting -
Green Streets",3343,W,IRVING PARK,RD,33,2:24 PM,3:25 PM,Closed,"7D, 5-14-20, 1OP, 07CC"
20-02724332,"Tree Planting -
Green Streets",3406,W,IRVING PARK,RD,35,2:39 PM,3:45 PM,Closed,"7D, 5-14-20, 1OP; JTL, 32AD"
20-02724409,"Tree Planting -
Green Streets",3435,W,IRVING PARK,RD,35,2:51 PM,3:52 PM,Closed,"7D, 5-14-20, 1OP, 01ZF"
20-02724428,"Tree Planting -
Green Streets",3451,W,IRVING PARK,RD,35,2:54 PM,3:55 PM,Closed,"7D, 5-14-20, 1OP, 01ZF"
20-02730680,"Tree Planting -
Green Streets",3501,W,IRVING PARK,RD,35,1:33 PM,2:35 PM,Closed,"7D, 5-14-20, 1OP; ON ST LOUIS, 07CC"
20-02730692,"Tree Planting -
Green Streets",3524,W,IRVING PARK,RD,35,1:37 PM,2:39 PM,Closed,"7D, 5-14-20, 1OP; ON DRAKE, 01ZF"
20-02730710,"Tree Planting -
Green Streets",3542,W,IRVING PARK,RD,35,1:41 PM,2:43 PM,Closed,"7D,5-14-20, 1OP, 07CC"
20-02730732,"Tree Planting -
Green Streets",3541,W,IRVING PARK,RD,35,1:46 PM,2:48 PM,Closed,"7D, 5-14-20, 1OP, 01ZF"
20-02730739,"Tree Planting -
Green Streets",3550,W,IRVING PARK,RD,35,1:50 PM,2:52 PM,Closed,"7D, 5-14-20, 1OP; PD?, 07CC"
20-02730751,"Tree Planting -
Green Streets",3553,W,IRVING PARK,RD,35,1:54 PM,2:55 PM,Closed,"7D, 5-14-20, 1OP, 07CC"
20-02730759,"Tree Planting -
Green Streets",3554,W,IRVING PARK,RD,35,1:57 PM,2:58 PM,Closed,"7D, 5-14-20, 1OP; PD, 01ZF"
20-02730772,"Tree Planting -
Green Streets",3658,W,IRVING PARK,RD,45,2:00 PM,3:02 PM,Closed,"7D, 5-14-20, 1OP, 01ZF"
20-02730788,"Tree Planting -
Green Streets",3660,W,IRVING PARK,RD,45,2:03 PM,3:05 PM,Closed,"7D, 5-14-20, 1OP, HACKBERRY"
20-02730853,"Tree Planting -
Green Streets",3718,W,IRVING PARK,RD,45,2:19 PM,3:21 PM,Closed,"7D, 5-14-20, 1OP, 07CC"
20-02730864,"Tree Planting -
Green Streets",3937,W,IRVING PARK,RD,45,2:23 PM,3:25 PM,Closed,"7D, 5-14-20, 1OP, 07CC"
20-02730877,"Tree Planting -
Green Streets",3955,W,IRVING PARK,RD,45,2:26 PM,3:29 PM,Closed,"7D, 5-14-20, 3OP, 01ZF"
20-02730903,"Tree Planting -
Green Streets",3625,N,KEDZIE,AVE,33,2:32 PM,3:34 PM,Closed,"7D, 5-15-20, 3OP, 01ZF"
20-02730912,"Tree Planting -
Green Streets",3815,N,KEDZIE,AVE,33,2:35 PM,3:37 PM,Closed,"7D, 5-15-20, 1OP, 07CC"
20-02730925,"Tree Planting -
Green Streets",3835,N,KEDZIE,AVE,33,2:38 PM,3:39 PM,Closed,"7D, 5-15-20, 1OP, 01ZF"
20-02733548,"Tree Planting -
Green Streets",3847,N,KEDZIE,AVE,33,11:16 AM,12:18 PM,Closed,"7D, 5-15-20, 1OP, 07CC"
20-02733565,"Tree Planting -
Green Streets",3901,N,KEDZIE,AVE,33,11:19 AM,12:21 PM,Closed,"7D, 5-15-20, 1OP, 01ZF"
20-02733583,"Tree Planting -
Green Streets",3915,N,KEDZIE,AVE,33,11:22 AM,12:23 PM,Closed,"7D, 5-15-20, 1OP, 07CC"
20-02734381,"Tree Planting -
Green Streets",4143,N,KEDZIE,AVE,33,1:23 PM,2:42 PM,Closed,"7D, 5-15-20, 1OP, 07CC"
20-02738570,"Tree Planting -
Green Streets",4158,N,KEDZIE,AVE,33,1:47 PM,2:50 PM,Closed,"7D, 5-15-20, 3OP ON BERTEAU, 07CC"
20-02738681,"Tree Planting -
Green Streets",4201,N,KEDZIE,AVE,33,1:59 PM,3:03 PM,Closed,"7D, 5-15-20, 3P; ON BERTEAU, 41LH"
20-02738711,"Tree Planting -
Green Streets",4202,N,KEDZIE,AVE,33,2:05 PM,3:19 PM,Closed,"7D, 5-15-20, 3OP; ON BERTEAU, 04ZE"
20-02738789,"Tree Planting -
Green Streets",4246,N,KEDZIE,AVE,33,2:21 PM,3:25 PM,Closed,"7D, 5-15-20, 3P; ON CULLOM, 41ZD"
20-02741710,"Tree Planting -
Green Streets",4343,N,KEDZIE,AVE,33,10:30 AM,11:32 AM,Closed,"7D, 5-15-20, 1OP, 07CC"
20-02741755,"Tree Planting -
Green Streets",4506,N,KEDZIE,AVE,33,10:33 AM,11:34 AM,Closed,"7D, 5-15-20, 1OP, 01ZF"
20-02741776,"Tree Planting -
Green Streets",4604,N,KEDZIE,AVE,33,10:36 AM,11:38 AM,Closed,"7D, 5-12-20, 1OP, 07CC"
20-02741790,"Tree Planting -
Green Streets",4612,N,KEDZIE,AVE,33,10:39 AM,11:40 AM,Closed,"7D, 5-12-20, 1OP, 07CC"
20-02741801,"Tree Planting -
Green Streets",4635,N,KEDZIE,AVE,33,10:42 AM,11:43 AM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02741820,"Tree Planting -
Green Streets",4738,N,KEDZIE,AVE,33,10:45 AM,11:47 AM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02741846,"Tree Planting -
Green Streets",4650,N,KIMBALL,AVE,33,10:49 AM,11:50 AM,Closed,"7D, 5-12-20, 1OP; SCHOOL, 07CC"
20-02741875,"Tree Planting -
Green Streets",3015,W,LAWRENCE,AVE,33,10:51 AM,11:53 AM,Closed,"7D, 5-12-20, 1OP, 07CC"
20-02741891,"Tree Planting -
Green Streets",3123,W,LAWRENCE,AVE,33,10:54 AM,11:55 AM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02741949,"Tree Planting -
Green Streets",3502,W,LAWRENCE,AVE,33,10:58 AM,11:59 AM,Closed,"7D, 5-12-20, 1OP, 07CC"
20-02741966,"Tree Planting -
Green Streets",3536,W,LAWRENCE,AVE,33,11:01 AM,12:02 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02741984,"Tree Planting -
Green Streets",3559,W,LAWRENCE,AVE,33,11:03 AM,12:05 PM,Closed,"7D, 5-12-20, 2OP; ON CENTRAL PARK, 07CC"
20-02742008,"Tree Planting -
Green Streets",3801,W,LAWRENCE,AVE,35,11:07 AM,12:08 PM,Closed,"7D, 5-12-20, 1OP; ON HAMLIN, 07CC"
20-02742023,"Tree Planting -
Green Streets",1339,W,MONROE,ST,27,11:10 AM,12:13 PM,Closed,"7D, 5-12-20, 3P, 41ZD"
20-02742055,"Tree Planting -
Green Streets",1604,W,MONROE,ST,28,11:14 AM,12:15 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02742071,"Tree Planting -
Green Streets",3301,W,MONTROSE,AVE,33,11:17 AM,12:19 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02742096,"Tree Planting -
Green Streets",3341,W,MONTROSE,AVE,33,11:21 AM,12:24 PM,Closed,"7D, 5-12-20, 2OP, 41ZD"
20-02742116,"Tree Planting -
Green Streets",3548,W,MONTROSE,AVE,35,11:26 AM,12:27 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02742132,"Tree Planting -
Green Streets",3550,W,MONTROSE,AVE,35,11:29 AM,12:30 PM,Closed,"7D, 5-12-20, 1OP, 41ZD"
20-02742152,"Tree Planting -
Green Streets",3639,W,MONTROSE,AVE,35,11:32 AM,12:33 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02742169,"Tree Planting -
Green Streets",3643,W,MONTROSE,AVE,35,11:34 AM,12:36 PM,Closed,"7D, 5-12-20, 1OP, 41ZD"
20-02742199,"Tree Planting -
Green Streets",3840,W,MONTROSE,AVE,35,11:38 AM,12:39 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02742226,"Tree Planting -
Green Streets",3856,W,MONTROSE,AVE,35,11:41 AM,12:42 PM,Closed,"7D, 5-12-20, 1OP, 41ZD"
20-02742246,"Tree Planting -
Green Streets",3908,W,MONTROSE,AVE,35,11:43 AM,12:46 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02742982,"Tree Planting -
Green Streets",60,E,OHIO,ST,42,1:15 PM,2:17 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02743051,"Tree Planting -
Green Streets",2219,W,TAYLOR,ST,28,1:24 PM,2:26 PM,Closed,"7D, 5-12-20, 1OP, 04ZE"
20-02743089,"Tree Planting -
Green Streets",2242,W,TAYLOR,ST,28,1:28 PM,2:32 PM,Closed,"7D, 5-12-20, 1OP, 41ZD"
20-02743138,"Tree Planting -
Green Streets",2243,W,TAYLOR,ST,28,1:34 PM,2:36 PM,Closed,"7D, 5-12-20, 2OP, 13AG"
20-02743172,"Tree Planting -
Green Streets",2336,W,TAYLOR,ST,28,1:39 PM,2:42 PM,Closed,"7D, 5-12-20, 1OP, 04ZE"
20-02743210,"Tree Planting -
Green Streets",230,W,"WASHINGTO
N",ST,42,1:43 PM,2:45 PM,Closed,"7D, 5-12-20, 2OP; ON FRANKLIN, 01ZF"
20-02743236,"Tree Planting -
Green Streets",611,S,WESTERN,AVE,28,1:47 PM,2:48 PM,Closed,"7D, 5-12-20, 1OP, 01ZF"
20-02754302,"Tree Planting -
Green Streets",228,W,22ND,PL,25,11:00 AM,12:04 PM,Closed,"7D, 5-22-20, 1OP, 41ZD"
20-02754357,"Tree Planting -
Green Streets",246,W,22ND,PL,25,11:06 AM,12:07 PM,Closed,"7D, 5-22-20, 1OP, 41ZD"
20-02754382,"Tree Planting -
Green Streets",203,W,23RD,PL,25,11:09 AM,12:11 PM,Closed,"7D, 5-22-20, 1OP, 32AD"
20-02754432,"Tree Planting -
Green Streets",215,W,23RD,ST,25,11:13 AM,12:15 PM,Closed,"7D, 5-22-20, 1OP, 32AD"
20-02754471,"Tree Planting -
Green Streets",231,W,23RD,ST,25,11:17 AM,12:18 PM,Closed,"7D, 5-22-20, 1OP, 04ZE"
20-02754499,"Tree Planting -
Green Streets",265,W,24TH,ST,25,11:20 AM,12:22 PM,Closed,"7D, 5-22-20, 1OP, 04ZE"
20-02754530,"Tree Planting -
Green Streets",2131,S,ARCHER,AVE,25,11:24 AM,12:25 PM,Closed,"7D, 5-22-20, 1OP, 07CC"
20-02754548,"Tree Planting -
Green Streets",170,N,DEARBORN,ST,42,11:27 AM,12:28 PM,Closed,"7D, 5-22-20, 1OP, 01ZF"
20-02755543,"Tree Planting -
Green Streets",347,W,24TH,PL,11,1:16 PM,4:02 PM,Closed,"7D, 5-19-20, 43P; 40 JUNIPERS FROM CITY HALL, 3
JUNIPERS FROM 1339 W MONROE, 41LX"
20-03050845,"Tree Planting -
Green Streets",3996,S,DREXEL,BLVD,4,8:15 AM,7:47 PM,Closed,"7D, 1OP, 0N 40TH IN BLVD, 07CC"
20-03062610,"Tree Planting -
Green Streets",5,N,KARLOV,AVE,28,1:00 PM,4:24 PM,Closed,"7D, 1OP, 06ZE"
20-03062630,"Tree Planting -
Green Streets",1,S,KEELER,AVE,28,1:02 PM,4:23 PM,Closed,"7D, 1OP, 04ZE"
20-03062652,"Tree Planting -
Green Streets",1,N,KILPATRICK,AVE,28,1:04 PM,4:09 PM,Closed,"7D, 4P, RR DEAD ASH, 04ZE"
20-03062682,"Tree Planting -
Green Streets",5,N,KILPATRICK,AVE,28,1:07 PM,4:10 PM,Closed,"7D, 1P, POWERLINES, 32AD"
20-03062701,"Tree Planting -
Green Streets",1,S,KOSTNER,AVE,28,1:08 PM,3:50 PM,Closed,"7D, 1OP, 04ZE"
20-03062713,"Tree Planting -
Green Streets",2,N,KOSTNER,AVE,28,1:10 PM,3:51 PM,Closed,"7D, 1OP, 25ZE"
20-03062740,"Tree Planting -
Green Streets",3,N,KOSTNER,AVE,28,1:13 PM,4:01 PM,Closed,"7D, 2NCO 5X10, 06ZB"
20-03062763,"Tree Planting -
Green Streets",7,N,KOSTNER,AVE,28,1:15 PM,3:57 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03062791,"Tree Planting -
Green Streets",10,S,KOSTNER,AVE,28,1:19 PM,3:54 PM,Closed,"7D, 1OP, 25ZE"
20-03062803,"Tree Planting -
Green Streets",3818,W,MADISON,ST,28,1:21 PM,3:35 PM,Closed,"7D, 1OP, 25ZE"
20-03062829,"Tree Planting -
Green Streets",3821,W,MADISON,ST,28,1:24 PM,3:37 PM,Closed,"7D, 3OP, 06ZB"
20-03062850,"Tree Planting -
Green Streets",3822,W,MADISON,ST,28,1:26 PM,3:38 PM,Closed,"7D, 1OP, 25ZE"
20-03062865,"Tree Planting -
Green Streets",3826,W,MADISON,ST,28,1:28 PM,3:40 PM,Closed,"7D, 1OP, 06ZB"
20-03062891,"Tree Planting -
Green Streets",3830,W,MADISON,ST,28,1:30 PM,3:41 PM,Closed,"7D, 3OP, 01ZF"
20-03062905,"Tree Planting -
Green Streets",3833,W,MADISON,ST,28,1:31 PM,3:43 PM,Closed,"7D, 2OP, 25ZE"
20-03062929,"Tree Planting -
Green Streets",3852,W,MADISON,ST,28,1:34 PM,3:45 PM,Closed,"7D, 1OP, 25ZE"
20-03062941,"Tree Planting -
Green Streets",3912,W,MADISON,ST,28,1:36 PM,3:47 PM,Closed,"7D, 1OP, 01ZF"
20-03062969,"Tree Planting -
Green Streets",3916,W,MADISON,ST,28,1:39 PM,3:49 PM,Closed,"7D, 1OP, 01ZF"
20-03062991,"Tree Planting -
Green Streets",3917,W,MADISON,ST,28,1:40 PM,3:50 PM,Closed,"7D, 1OP, 01ZF"
20-03063087,"Tree Planting -
Green Streets",3936,W,MADISON,ST,28,1:49 PM,3:52 PM,Closed,"7D, 1OP, 01ZF"
20-03063099,"Tree Planting -
Green Streets",3942,W,MADISON,ST,28,1:52 PM,3:53 PM,Closed,"7D, 1OP, 01ZF"
20-03063206,"Tree Planting -
Green Streets",3952,W,MADISON,ST,28,2:01 PM,3:55 PM,Closed,"7D, 2OP, 06ZB"
20-03063225,"Tree Planting -
Green Streets",4019,W,MADISON,ST,28,2:03 PM,3:57 PM,Closed,"7D, 1OP, 01ZF"
20-03063236,"Tree Planting -
Green Streets",4022,W,MADISON,ST,28,2:04 PM,3:59 PM,Closed,"7D, 1OP, 06ZB"
20-03063249,"Tree Planting -
Green Streets",4040,W,MADISON,ST,28,2:06 PM,4:00 PM,Closed,"7D, 1OP, 01ZF"
20-03063261,"Tree Planting -
Green Streets",4043,W,MADISON,ST,28,2:08 PM,4:01 PM,Closed,"7D, 1OP, 06ZB"
20-03063272,"Tree Planting -
Green Streets",4058,W,MADISON,ST,28,2:09 PM,4:03 PM,Closed,"7D, 1OP, 01ZF"
20-03063303,"Tree Planting -
Green Streets",4108,W,MADISON,ST,28,2:13 PM,4:09 PM,Closed,"7D, 1OP, 04ZE"
20-03063314,"Tree Planting -
Green Streets",4114,W,MADISON,ST,28,2:14 PM,4:11 PM,Closed,"7D, 1OP, 04ZE"
20-03063323,"Tree Planting -
Green Streets",4129,W,MADISON,ST,28,2:16 PM,12:24 PM,Closed,"7D, 1OP, 01ZF"
20-03063335,"Tree Planting -
Green Streets",4130,W,MADISON,ST,28,2:17 PM,4:12 PM,Closed,"7D, 1OP, 01ZF"
20-03063343,"Tree Planting -
Green Streets",4142,W,MADISON,ST,28,2:18 PM,4:13 PM,Closed,"7D, 1OP, 04ZE"
20-03063367,"Tree Planting -
Green Streets",4146,W,MADISON,ST,28,2:20 PM,4:15 PM,Closed,"7D, 1OP, 04ZE"
20-03063390,"Tree Planting -
Green Streets",4217,W,MADISON,ST,28,2:22 PM,4:45 PM,Closed,"7D, 2OP, 04ZE"
20-03063397,"Tree Planting -
Green Streets",4220,W,MADISON,ST,28,2:23 PM,4:47 PM,Closed,"7D, 1OP, 06ZB"
20-03063407,"Tree Planting -
Green Streets",4238,W,MADISON,ST,28,2:25 PM,4:48 PM,Closed,"7D, 2OP, 04ZE"
20-03063423,"Tree Planting -
Green Streets",4241,W,MADISON,ST,28,2:26 PM,4:50 PM,Closed,"7D, 1OP, 06ZB"
20-03063435,"Tree Planting -
Green Streets",4246,W,MADISON,ST,28,2:27 PM,4:51 PM,Closed,"7D, 1OP, 01ZF"
20-03068136,"Tree Planting -
Green Streets",4301,W,MADISON,ST,28,10:30 AM,3:08 PM,Closed,"7D. 1NCO 5X10, 01ZF"
20-03068155,"Tree Planting -
Green Streets",4304,W,MADISON,ST,28,10:32 AM,3:10 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03068201,"Tree Planting -
Green Streets",4307,W,MADISON,ST,28,10:33 AM,3:11 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068232,"Tree Planting -
Green Streets",4312,W,MADISON,ST,28,10:38 AM,3:22 PM,Closed,"7D, 2NCO 5X10, 25ZE"
20-03068245,"Tree Planting -
Green Streets",4313,W,MADISON,ST,28,10:39 AM,3:24 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03068263,"Tree Planting -
Green Streets",4323,W,MADISON,ST,28,10:42 AM,3:51 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068294,"Tree Planting -
Green Streets",4324,W,MADISON,ST,28,10:43 AM,3:54 PM,Closed,"7D, 3NCO 5X10, 04ZE"
20-03068309,"Tree Planting -
Green Streets",4327,W,MADISON,ST,28,10:45 AM,3:56 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068319,"Tree Planting -
Green Streets",4331,W,MADISON,ST,28,10:46 AM,3:58 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03068332,"Tree Planting -
Green Streets",4333,W,MADISON,ST,28,10:48 AM,4:00 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03068352,"Tree Planting -
Green Streets",4334,W,MADISON,ST,28,10:49 AM,4:04 PM,Closed,"7D, 3NCO 5X10, 07CC"
20-03068359,"Tree Planting -
Green Streets",4339,W,MADISON,ST,28,10:51 AM,4:27 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03068371,"Tree Planting -
Green Streets",4340,W,MADISON,ST,28,10:52 AM,4:29 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068378,"Tree Planting -
Green Streets",4344,W,MADISON,ST,28,10:53 AM,4:30 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068404,"Tree Planting -
Green Streets",4358,W,MADISON,ST,28,10:55 AM,4:32 PM,Closed,"7D, 2NCO 5X10, 06ZB"
20-03068423,"Tree Planting -
Green Streets",4402,W,MADISON,ST,28,10:57 AM,2:49 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03068448,"Tree Planting -
Green Streets",4407,W,MADISON,ST,28,10:58 AM,3:02 PM,Closed,"7D, 2NCO 5X10, 06ZB"
20-03068472,"Tree Planting -
Green Streets",4412,W,MADISON,ST,28,11:01 AM,3:11 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03068497,"Tree Planting -
Green Streets",4415,W,MADISON,ST,28,11:03 AM,3:14 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068612,"Tree Planting -
Green Streets",4416,W,MADISON,ST,28,11:12 AM,3:15 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068623,"Tree Planting -
Green Streets",4417,W,MADISON,ST,28,11:13 AM,3:20 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068636,"Tree Planting -
Green Streets",4420,W,MADISON,ST,28,11:15 AM,3:26 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068644,"Tree Planting -
Green Streets",4421,W,MADISON,ST,28,11:16 AM,4:40 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03068681,"Tree Planting -
Green Streets",4427,W,MADISON,ST,28,11:19 AM,5:06 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03068691,"Tree Planting -
Green Streets",4432,W,MADISON,ST,28,11:21 AM,12:25 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068705,"Tree Planting -
Green Streets",4436,W,MADISON,ST,28,11:22 AM,5:08 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068719,"Tree Planting -
Green Streets",4437,W,MADISON,ST,28,11:24 AM,5:10 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068745,"Tree Planting -
Green Streets",4443,W,MADISON,ST,28,11:27 AM,5:13 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03068763,"Tree Planting -
Green Streets",4444,W,MADISON,ST,28,11:28 AM,5:15 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03068783,"Tree Planting -
Green Streets",4448,W,MADISON,ST,28,11:31 AM,5:19 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03068795,"Tree Planting -
Green Streets",4452,W,MADISON,ST,28,11:32 AM,5:22 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03068818,"Tree Planting -
Green Streets",4456,W,MADISON,ST,28,11:34 AM,5:24 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03068845,"Tree Planting -
Green Streets",4457,W,MADISON,ST,28,11:36 AM,5:28 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03070045,"Tree Planting -
Green Streets",4505,W,MADISON,ST,28,1:29 PM,2:25 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03070069,"Tree Planting -
Green Streets",4511,W,MADISON,ST,28,1:31 PM,2:27 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03070084,"Tree Planting -
Green Streets",4525,W,MADISON,ST,28,1:32 PM,2:29 PM,Closed,"7D, 3NCO 5X10, 04ZE"
20-03070090,"Tree Planting -
Green Streets",4527,W,MADISON,ST,28,1:33 PM,2:30 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03070110,"Tree Planting -
Green Streets",4539,W,MADISON,ST,28,1:34 PM,2:33 PM,Closed,"7D, 1NCO 5X10, 01ZF"
20-03070138,"Tree Planting -
Green Streets",4540,W,MADISON,ST,28,1:36 PM,2:34 PM,Closed,"7D, 3NCO 5X10, 04ZE"
20-03070184,"Tree Planting -
Green Streets",4543,W,MADISON,ST,28,1:39 PM,2:37 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03070196,"Tree Planting -
Green Streets",4611,W,MADISON,ST,28,1:41 PM,2:39 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03070209,"Tree Planting -
Green Streets",4621,W,MADISON,ST,28,1:42 PM,2:40 PM,Closed,"7D, 3NCO 5X10, 04ZE"
20-03070220,"Tree Planting -
Green Streets",4624,W,MADISON,ST,28,1:43 PM,2:42 PM,Closed,"7D, 2NCO 5X10, COLUMNAR, 04ZE"
20-03070231,"Tree Planting -
Green Streets",4629,W,MADISON,ST,28,1:45 PM,2:43 PM,Closed,"7D, 3NCO 5X10, 06ZB"
20-03070278,"Tree Planting -
Green Streets",4633,W,MADISON,ST,28,1:48 PM,2:50 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03070302,"Tree Planting -
Green Streets",4637,W,MADISON,ST,28,1:51 PM,8:47 AM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03070311,"Tree Planting -
Green Streets",4645,W,MADISON,ST,28,1:52 PM,2:55 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03070322,"Tree Planting -
Green Streets",4651,W,MADISON,ST,28,1:53 PM,2:57 PM,Closed,"7D, 1OP, 07CC"
20-03070332,"Tree Planting -
Green Streets",4653,W,MADISON,ST,28,1:55 PM,2:58 PM,Closed,"7D, 1NCO 5X10, 25ZE"
20-03070346,"Tree Planting -
Green Streets",4655,W,MADISON,ST,28,1:56 PM,3:00 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03070795,"Tree Planting -
Green Streets",4711,W,MADISON,ST,28,2:45 PM,3:03 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03070821,"Tree Planting -
Green Streets",4724,W,MADISON,ST,28,2:49 PM,3:15 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03070827,"Tree Planting -
Green Streets",4726,W,MADISON,ST,28,2:50 PM,3:16 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03070834,"Tree Planting -
Green Streets",4730,W,MADISON,ST,28,2:51 PM,3:17 PM,Closed,"7D, 3NCO 5X10, 04ZE"
20-03070843,"Tree Planting -
Green Streets",4742,W,MADISON,ST,28,2:53 PM,3:19 PM,Closed,"7D, 3NCO 5X10, 25ZE"
20-03070847,"Tree Planting -
Green Streets",4746,W,MADISON,ST,28,2:54 PM,3:21 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03070852,"Tree Planting -
Green Streets",4750,W,MADISON,ST,28,2:56 PM,3:22 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03088183,"Tree Planting -
Green Streets",4817,W,MADISON,ST,28,10:47 AM,10:57 AM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03088200,"Tree Planting -
Green Streets",4824,W,MADISON,ST,28,10:48 AM,3:26 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03088237,"Tree Planting -
Green Streets",4830,W,MADISON,ST,28,10:51 AM,3:44 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03088262,"Tree Planting -
Green Streets",4841,W,MADISON,ST,28,10:52 AM,3:45 PM,Closed,"7D, 1NCO 5X10, 07CC"
20-03088269,"Tree Planting -
Green Streets",4859,W,MADISON,ST,28,10:54 AM,3:47 PM,Closed,"7D, 2NCO 5X5, 01ZF"
20-03088323,"Tree Planting -
Green Streets",4903,W,MADISON,ST,28,10:57 AM,3:56 PM,Closed,"7D, 1NCO 5X10, 06ZB"
20-03088350,"Tree Planting -
Green Streets",4905,W,MADISON,ST,28,10:59 AM,4:11 PM,Closed,"7D, 1 NCO 5X10, 25ZE"
20-03088361,"Tree Planting -
Green Streets",4906,W,MADISON,ST,28,11:00 AM,4:12 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03088372,"Tree Planting -
Green Streets",4909,W,MADISON,ST,28,11:01 AM,4:14 PM,Closed,"7D, 1NCO 5X10, 04ZE"
20-03088398,"Tree Planting -
Green Streets",4910,W,MADISON,ST,28,11:03 AM,4:16 PM,Closed,"7D, 1NCO 5X10, 07CC"
