"",Green Streets,60621,,10:28 AM,01:56 PM,,Green Streets,
"",,COOK,,,,,,
10-01091451,Tree Planting -,"704 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:28 AM,01:56 PM,,Green Streets,
"",,COOK,,,,,,
10-01091465,Tree Planting -,"705 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:30 AM,01:57 PM,,Green Streets,
"",,COOK,,,,,,
10-01091474,Tree Planting -,"709 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:30 AM,01:57 PM,,Green Streets,
"",,COOK,,,,,,
10-01091483,Tree Planting -,"710 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:31 AM,01:59 PM,,Green Streets,
"",,COOK,,,,,,
10-01091493,Tree Planting -,"719 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:32 AM,01:59 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01091502,Tree Planting -,"723 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:32 AM,02:01 PM,,Green Streets,
"",,COOK,,,,,,
10-01091513,Tree Planting -,"725 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:33 AM,02:03 PM,,Green Streets,
"",,COOK,,,,,,
10-01091519,Tree Planting -,"726 W 59TH ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP - ON EMERALD
"",Green Streets,60621,,10:34 AM,02:03 PM,,Green Streets,
"",,COOK,,,,,,
10-01091523,Tree Planting -,"735 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP - ON EMERALD
"",Green Streets,60621,,10:34 AM,02:03 PM,,Green Streets,
"",,COOK,,,,,,
10-01091532,Tree Planting -,"817 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - DEAD
"",Green Streets,60621,,10:35 AM,11:23 AM,,Green Streets,
"",,COOK,,,,,,
10-01091544,Tree Planting -,"829 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP - ON GREEN
"",Green Streets,60621,,10:35 AM,02:04 PM,,Green Streets,
"",,COOK,,,,,,
10-01091558,Tree Planting -,"839 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:37 AM,02:04 PM,,Green Streets,
"",,COOK,,,,,,
10-01091567,Tree Planting -,"933 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 10, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:37 AM,02:05 PM,,Green Streets,
"",,COOK,,,,,,
10-01091578,Tree Planting -,"934 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON SANGAMON
"",Green Streets,60621,,10:38 AM,03:01 PM,,Green Streets,
"",,COOK,,,,,,
10-01091608,Tree Planting -,"1029 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON CARPENTER
"",Green Streets,60621,,10:40 AM,03:02 PM,,Green Streets,
"",,COOK,,,,,,
10-01091624,Tree Planting -,"1033 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:41 AM,03:02 PM,,Green Streets,
"",,COOK,,,,,,
10-01091636,Tree Planting -,"1058 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON ABERDEEN
"",Green Streets,60621,,10:42 AM,03:03 PM,,Green Streets,
"",,COOK,,,,,,
10-01091647,Tree Planting -,"1059 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON ABERDEEN
"",Green Streets,60621,,10:42 AM,03:03 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01091660,Tree Planting -,"1102 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON ABERDEEN
"",Green Streets,60621,,10:43 AM,03:04 PM,,Green Streets,
"",,COOK,,,,,,
10-01091677,Tree Planting -,"1103 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON ABERDEEN
"",Green Streets,60621,,10:44 AM,03:05 PM,,Green Streets,
"",,COOK,,,,,,
10-01091701,Tree Planting -,"1111 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON ABERDEEN
"",Green Streets,60621,,10:46 AM,03:05 PM,,Green Streets,
"",,COOK,,,,,,
10-01091708,Tree Planting -,"1115 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:47 AM,03:14 PM,,Green Streets,
"",,COOK,,,,,,
10-01091718,Tree Planting -,"1119 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,10:47 AM,03:15 PM,,Green Streets,
"",,COOK,,,,,,
10-01091743,Tree Planting -,"1125 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON MAY SOUTH OF
"",Green Streets,60621,,10:49 AM,03:15 PM,,Green Streets,FIRE ESCAPE
"",,COOK,,,,,,
10-01091883,Tree Planting -,"1128 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,itep - ITEP - ON MAY
"",Green Streets,60621,,11:00 AM,03:16 PM,,Green Streets,
"",,COOK,,,,,,
10-01091901,Tree Planting -,"1132 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON MAY
"",Green Streets,60621,,11:02 AM,03:17 PM,,Green Streets,
"",,COOK,,,,,,
10-01091916,Tree Planting -,"1133 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP - ON MAY
"",Green Streets,60621,,11:04 AM,03:18 PM,,Green Streets,
"",,COOK,,,,,,
10-01091921,Tree Planting -,"1136 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,11:05 AM,03:18 PM,,Green Streets,
"",,COOK,,,,,,
10-01091927,Tree Planting -,"1227 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 11, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:05 AM,03:19 PM,,Green Streets,
"",,COOK,,,,,,
10-01091938,Tree Planting -,"1229 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:06 AM,12:49 PM,,Green Streets,
"",,COOK,,,,,,
10-01091946,Tree Planting -,"1235 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON ELIZABETH
"",Green Streets,60636,,11:07 AM,12:50 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01091951,Tree Planting -,"1239 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON ELIZABETH
"",Green Streets,60636,,11:07 AM,12:51 PM,,Green Streets,
"",,COOK,,,,,,
10-01091961,Tree Planting -,"1259 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:08 AM,12:51 PM,,Green Streets,
"",,COOK,,,,,,
10-01091976,Tree Planting -,"1305 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON THROOP
"",Green Streets,60636,,11:09 AM,12:52 PM,,Green Streets,
"",,COOK,,,,,,
10-01091983,Tree Planting -,"1328 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON ADA TO VIADUCT
"",Green Streets,60636,,11:10 AM,12:53 PM,,Green Streets,
"",,COOK,,,,,,
10-01091989,Tree Planting -,"1333 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON ADA
"",Green Streets,60636,,11:11 AM,12:53 PM,,Green Streets,
"",,COOK,,,,,,
10-01091999,Tree Planting -,"1339 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:11 AM,12:53 PM,,Green Streets,
"",,COOK,,,,,,
10-01092007,Tree Planting -,"1359 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON LOOMIS
"",Green Streets,60636,,11:12 AM,12:54 PM,,Green Streets,
"",,COOK,,,,,,
10-01092022,Tree Planting -,"1401 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - - ON LOOMIS
"",Green Streets,60636,,11:13 AM,12:54 PM,,Green Streets,
"",,COOK,,,,,,
10-01092031,Tree Planting -,"1433 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON BISHOP
"",Green Streets,60636,,11:14 AM,12:55 PM,,Green Streets,
"",,COOK,,,,,,
10-01092054,Tree Planting -,"1434 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON BISHOP
"",Green Streets,60636,,11:15 AM,12:56 PM,,Green Streets,
"",,COOK,,,,,,
10-01092062,Tree Planting -,"1501 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON LAFLIN
"",Green Streets,60636,,11:15 AM,12:56 PM,,Green Streets,
"",,COOK,,,,,,
10-01092075,Tree Planting -,"1502 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON LAFLIN
"",Green Streets,60636,,11:16 AM,12:57 PM,,Green Streets,
"",,COOK,,,,,,
10-01092083,Tree Planting -,"1513 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:17 AM,12:57 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01092097,Tree Planting -,"1533 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - ON JUSTINE
"",Green Streets,60636,,11:18 AM,11:23 AM,,Green Streets,
"",,COOK,,,,,,
10-01092109,Tree Planting -,"1534 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - ON JUSTINE
"",Green Streets,60636,,11:18 AM,11:24 AM,,Green Streets,
"",,COOK,,,,,,
10-01092116,Tree Planting -,"1635 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON MARSHFIELD
"",Green Streets,60636,,11:19 AM,12:58 PM,,Green Streets,
"",,COOK,,,,,,
10-01092121,Tree Planting -,"1636 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - CVS POWERLINES
"",Green Streets,60636,,11:20 AM,01:00 PM,,Green Streets,
"",,COOK,,,,,,
10-01092132,Tree Planting -,"1808 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:21 AM,01:00 PM,,Green Streets,
"",,COOK,,,,,,
10-01092139,Tree Planting -,"1818 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:21 AM,01:01 PM,,Green Streets,
"",,COOK,,,,,,
10-01092146,Tree Planting -,"1854 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON WOLCOTT TO
"",Green Streets,60636,,11:22 AM,01:02 PM,,Green Streets,VIADUCT
"",,COOK,,,,,,
10-01092156,Tree Planting -,"1920 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON WINCHESTER
"",Green Streets,60636,,11:22 AM,01:02 PM,,Green Streets,
"",,COOK,,,,,,
10-01092160,Tree Planting -,"1921 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON WINCHESTER
"",Green Streets,60636,,11:23 AM,01:02 PM,,Green Streets,
"",,COOK,,,,,,
10-01092175,Tree Planting -,"1928 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - ON WINCHESTER
"",Green Streets,60636,,11:24 AM,01:03 PM,,Green Streets,
"",,COOK,,,,,,
10-01092179,Tree Planting -,"1938 W 59TH ST , CHICAGO, IL,",15-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:25 AM,01:03 PM,,Green Streets,
"",,COOK,,,,,,
10-01092191,Tree Planting -,"2013 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - DEAD KCT AND HB
"",Green Streets,60636,,11:25 AM,01:06 PM,,Green Streets,
"",,COOK,,,,,,
10-01092209,Tree Planting -,"2256 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - DEAD LOCUST
"",Green Streets,60636,,11:27 AM,01:07 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01092216,Tree Planting -,"2304 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:28 AM,01:07 PM,,Green Streets,
"",,COOK,,,,,,
10-01092223,Tree Planting -,"2308 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:28 AM,01:08 PM,,Green Streets,
"",,COOK,,,,,,
10-01092272,Tree Planting -,"2311 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:33 AM,01:09 PM,,Green Streets,
"",,COOK,,,,,,
10-01092284,Tree Planting -,"2316 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:33 AM,01:10 PM,,Green Streets,
"",,COOK,,,,,,
10-01092288,Tree Planting -,"2322 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:34 AM,01:10 PM,,Green Streets,
"",,COOK,,,,,,
10-01092347,Tree Planting -,"2336 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60636,,11:40 AM,01:20 PM,,Green Streets,
"",,COOK,,,,,,
10-01092356,Tree Planting -,"2517 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:41 AM,01:20 PM,,Green Streets,
"",,COOK,,,,,,
10-01092366,Tree Planting -,"2559 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:42 AM,01:21 PM,,Green Streets,
"",,COOK,,,,,,
10-01092376,Tree Planting -,"2609 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:43 AM,01:27 PM,,Green Streets,
"",,COOK,,,,,,
10-01092397,Tree Planting -,"2613 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP - 1
"",Green Streets,60629,,11:43 AM,01:28 PM,,Green Streets,
"",,COOK,,,,,,
10-01092411,Tree Planting -,"2619 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - DEAD LOCUST
"",Green Streets,60629,,11:45 AM,11:24 AM,,Green Streets,
"",,COOK,,,,,,
10-01092418,Tree Planting -,"2642 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:45 AM,01:29 PM,,Green Streets,
"",,COOK,,,,,,
10-01092425,Tree Planting -,"2644 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,"ITEP - DEAD PEAR 6"""
"",Green Streets,60629,,11:46 AM,11:24 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01092430,Tree Planting -,"2732 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - ON FAIRFIELD
"",Green Streets,60629,,11:46 AM,11:25 AM,,Green Streets,
"",,COOK,,,,,,
10-01092437,Tree Planting -,"2814 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:47 AM,11:25 AM,,Green Streets,
"",,COOK,,,,,,
10-01092448,Tree Planting -,"2821 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:48 AM,11:25 AM,,Green Streets,
"",,COOK,,,,,,
10-01092468,Tree Planting -,"2837 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:50 AM,11:25 AM,,Green Streets,
"",,COOK,,,,,,
10-01092478,Tree Planting -,"2839 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:51 AM,11:26 AM,,Green Streets,
"",,COOK,,,,,,
10-01092489,Tree Planting -,"2907 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:51 AM,01:29 PM,,Green Streets,
"",,COOK,,,,,,
10-01092506,Tree Planting -,"2910 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:52 AM,11:26 AM,,Green Streets,
"",,COOK,,,,,,
10-01092513,Tree Planting -,"2911 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:53 AM,11:26 AM,,Green Streets,
"",,COOK,,,,,,
10-01092515,Tree Planting -,"2917 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:53 AM,11:27 AM,,Green Streets,
"",,COOK,,,,,,
10-01092521,Tree Planting -,"2943 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:54 AM,11:27 AM,,Green Streets,
"",,COOK,,,,,,
10-01092536,Tree Planting -,"3006 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:55 AM,01:30 PM,,Green Streets,
"",,COOK,,,,,,
10-01092543,Tree Planting -,"3013 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:56 AM,01:33 PM,,Green Streets,
"",,COOK,,,,,,
10-01092570,Tree Planting -,"3014 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:58 AM,01:33 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01092573,Tree Planting -,"3019 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,11:59 AM,11:28 AM,,Green Streets,
"",,COOK,,,,,,
10-01092577,Tree Planting -,"3036 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:00 PM,11:28 AM,,Green Streets,
"",,COOK,,,,,,
10-01092582,Tree Planting -,"3038 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:00 PM,11:28 AM,,Green Streets,
"",,COOK,,,,,,
10-01092588,Tree Planting -,"3041 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:01 PM,11:28 AM,,Green Streets,
"",,COOK,,,,,,
10-01092592,Tree Planting -,"3045 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:01 PM,11:29 AM,,Green Streets,
"",,COOK,,,,,,
10-01092598,Tree Planting -,"3049 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:02 PM,11:29 AM,,Green Streets,
"",,COOK,,,,,,
10-01092604,Tree Planting -,"3051 W 59TH ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:03 PM,01:34 PM,,Green Streets,
"",,COOK,,,,,,
10-01092615,Tree Planting -,"3108 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:04 PM,11:29 AM,,Green Streets,
"",,COOK,,,,,,
10-01092655,Tree Planting -,"3110 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:05 PM,11:29 AM,,Green Streets,
"",,COOK,,,,,,
10-01092658,Tree Planting -,"3118 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:07 PM,11:29 AM,,Green Streets,
"",,COOK,,,,,,
10-01092666,Tree Planting -,"3120 W 59TH ST , CHICAGO, IL,",14-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60629,,12:08 PM,11:30 AM,,Green Streets,
"",,COOK,,,,,,
10-01092681,Tree Planting -,"302 W 63RD ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - DEAD LOCUST 8 ON
"",Green Streets,60621,,12:08 PM,11:34 AM,,Green Streets,"63ST, 1 ON STEWART"
"",,COOK,,,,,,
10-01092689,Tree Planting -,"453 W 63RD ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,12:10 PM,02:17 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-01092696,Tree Planting -,"521 W 63RD ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,12:10 PM,02:18 PM,,Green Streets,
"",,COOK,,,,,,
10-01092758,Tree Planting -,"540 W 63RD ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,12:11 PM,02:19 PM,,Green Streets,
"",,COOK,,,,,,
10-01092766,Tree Planting -,"544 W 63RD ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","DEC 12, 2014",Completed,Bureau of Forestry -,ITEP
"",Green Streets,60621,,12:16 PM,02:21 PM,,Green Streets,
"",,COOK,,,,,,
10-01092780,Tree Planting -,"742 W 63RD ST , CHICAGO, IL,",16-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - DEAD CATALPA
"",Green Streets,60621,,12:17 PM,11:35 AM,,Green Streets,
"",,COOK,,,,,,
10-01092792,Tree Planting -,"747 W 63RD ST , CHICAGO, IL,",20-Ward,"Jul 16, 2010","MAR 02, 2011",Completed,Bureau of Forestry -,ITEP - DEAD MAPLE
"",Green Streets,60621,,12:18 PM,11:35 AM,,Green Streets,
"",,COOK,,,,,,
